traj_id,frame,x,y
0,0,0.0,0.0
0,1,,
0,2,,
0,3,,
0,4,,
0,5,,
0,6,,
0,7,,
0,8,,
0,9,,
1,0,0.4013377926421405,6.822742474916388
1,1,,
1,2,,
1,3,,
1,4,,
1,5,,
1,6,,
1,7,,
1,8,,
1,9,,
2,0,0.5986622073578595,6.822742474916388
2,1,,
2,2,,
2,3,,
2,4,,
2,5,,
2,6,,
2,7,,
2,8,,
2,9,,
3,0,0.34448160535117056,7.023411371237458
3,1,0.3210702341137124,7.023411371237458
3,2,,
3,3,,
3,4,,
3,5,,
3,6,,
3,7,,
3,8,,
3,9,,
4,0,0.6555183946488294,7.023411371237458
4,1,0.6789297658862876,7.023411371237458
4,2,,
4,3,,
4,4,,
4,5,,
4,6,,
4,7,,
4,8,,
4,9,,
5,0,0.31438127090301005,7.224080267558529
5,1,,
5,2,,
5,3,,
5,4,,
5,5,,
5,6,,
5,7,,
5,8,,
5,9,,
6,0,0.68561872909699,7.224080267558529
6,1,,
6,2,,
6,3,,
6,4,,
6,5,,
6,6,,
6,7,,
6,8,,
6,9,,
7,0,0.2909698996655518,7.625418060200669
7,1,,
7,2,,
7,3,,
7,4,,
7,5,,
7,6,,
7,7,,
7,8,,
7,9,,
8,0,0.7090301003344481,7.625418060200669
8,1,,
8,2,,
8,3,,
8,4,,
8,5,,
8,6,,
8,7,,
8,8,,
8,9,,
9,0,0.32441471571906355,8.22742474916388
9,1,,
9,2,,
9,3,,
9,4,,
9,5,,
9,6,,
9,7,,
9,8,,
9,9,,
10,0,0.6755852842809364,8.22742474916388
10,1,,
10,2,,
10,3,,
10,4,,
10,5,,
10,6,,
10,7,,
10,8,,
10,9,,
11,0,0.36789297658862874,8.42809364548495
11,1,,
11,2,,
11,3,,
11,4,,
11,5,,
11,6,,
11,7,,
11,8,,
11,9,,
12,0,0.6321070234113713,8.42809364548495
12,1,,
12,2,,
12,3,,
12,4,,
12,5,,
12,6,,
12,7,,
12,8,,
12,9,,
13,0,0.3979933110367893,11.438127090301004
13,1,,
13,2,,
13,3,,
13,4,,
13,5,,
13,6,,
13,7,,
13,8,,
13,9,,
14,0,0.6020066889632107,11.438127090301004
14,1,,
14,2,,
14,3,,
14,4,,
14,5,,
14,6,,
14,7,,
14,8,,
14,9,,
15,0,0.3277591973244147,11.839464882943144
15,1,,
15,2,,
15,3,,
15,4,,
15,5,,
15,6,,
15,7,,
15,8,,
15,9,,
16,0,0.6722408026755853,11.839464882943144
16,1,,
16,2,,
16,3,,
16,4,,
16,5,,
16,6,,
16,7,,
16,8,,
16,9,,
17,0,0.2909698996655518,12.040133779264215
17,1,,
17,2,,
17,3,,
17,4,,
17,5,,
17,6,,
17,7,,
17,8,,
17,9,,
18,0,0.7090301003344481,12.040133779264215
18,1,,
18,2,,
18,3,,
18,4,,
18,5,,
18,6,,
18,7,,
18,8,,
18,9,,
19,0,0.391304347826087,12.642140468227424
19,1,,
19,2,,
19,3,,
19,4,,
19,5,,
19,6,,
19,7,,
19,8,,
19,9,,
20,0,0.6086956521739131,12.642140468227424
20,1,,
20,2,,
20,3,,
20,4,,
20,5,,
20,6,,
20,7,,
20,8,,
20,9,,
21,0,0.39464882943143814,15.050167224080267
21,1,0.3712374581939799,15.050167224080269
21,2,,
21,3,,
21,4,,
21,5,,
21,6,,
21,7,,
21,8,,
21,9,,
22,0,0.6053511705685619,15.050167224080267
22,1,0.6287625418060201,15.050167224080269
22,2,,
22,3,,
22,4,,
22,5,,
22,6,,
22,7,,
22,8,,
22,9,,
23,0,0.2909698996655518,15.652173913043478
23,1,,
23,2,,
23,3,,
23,4,,
23,5,,
23,6,,
23,7,,
23,8,,
23,9,,
24,0,0.3110367892976589,15.652173913043478
24,1,,
24,2,,
24,3,,
24,4,,
24,5,,
24,6,,
24,7,,
24,8,,
24,9,,
25,0,0.6889632107023411,15.652173913043478
25,1,,
25,2,,
25,3,,
25,4,,
25,5,,
25,6,,
25,7,,
25,8,,
25,9,,
26,0,0.7090301003344481,15.652173913043478
26,1,,
26,2,,
26,3,,
26,4,,
26,5,,
26,6,,
26,7,,
26,8,,
26,9,,
27,0,0.37792642140468224,18.26086956521739
27,1,,
27,2,,
27,3,,
27,4,,
27,5,,
27,6,,
27,7,,
27,8,,
27,9,,
28,0,0.6220735785953178,18.26086956521739
28,1,,
28,2,,
28,3,,
28,4,,
28,5,,
28,6,,
28,7,,
28,8,,
28,9,,
29,0,0.2909698996655518,18.662207357859533
29,1,,
29,2,,
29,3,,
29,4,,
29,5,,
29,6,,
29,7,,
29,8,,
29,9,,
30,0,0.7090301003344481,18.662207357859533
30,1,,
30,2,,
30,3,,
30,4,,
30,5,,
30,6,,
30,7,,
30,8,,
30,9,,
31,0,0.45484949832775917,23.879598662207357
31,1,,
31,2,,
31,3,,
31,4,,
31,5,,
31,6,,
31,7,,
31,8,,
31,9,,
32,0,0.5451505016722408,23.879598662207357
32,1,,
32,2,,
32,3,,
